Paul O'Neil,1953-01-01T00:00:00+02:00,1953-08-24,male,{Boston|Massachusetts|United States}
Ron Serafini,1953-01-01T00:00:00+02:00,1953-10-31,male,{Michigan|Highland Park Michigan|United States}
Steve Alley,1953-01-01T00:00:00+02:00,1953-12-29,male,{Minnesota|Anoka Minnesota|United States}
Pat Donnelly (ice hockey born 1953),1953-01-01T00:00:00+02:00,1953-06-24,,{Detroit|Michigan|United States}
Dean Talafous,1953-01-01T00:00:00+02:00,1953-08-25,male,{Minnesota|Duluth Minnesota|United States}
Jim Troy (ice hockey),1953-01-01T00:00:00+02:00,1953-01-21,,{Boston|Massachusetts|United States}
Les Auge,1953-01-01T00:00:00+02:00,1953-05-16,male,{Minnesota|Saint Paul Minnesota|United States}
Cap Raeder,1953-01-01T00:00:00+02:00,1953-10-08,male,{Needham Massachusetts|Canada|Massachusetts|United States}
Dan Bolduc,1953-01-01T00:00:00+02:00,1953-04-06,male,{Maine|Waterville Maine|United States}
Jack Carlson,1954-01-01T00:00:00+02:00,1954-08-23,,{Minnesota|Virginia Minnesota|United States}
Peter Brown (ice hockey),1954-01-01T00:00:00+02:00,1954-05-21,male,{Michigan|Dearborn Michigan|United States}
Mike Eruzione,1954-01-01T00:00:00+02:00,1954-10-25,male,{Winthrop Massachusetts|Massachusetts|United States}
Steve Short,1954-01-01T00:00:00+02:00,1954-04-06,male,{Minnesota|Roseville Minnesota|United States}
Joe Micheletti,1954-01-01T00:00:00+02:00,1954-10-24,male,{Minnesota|International Falls Minnesota|United States}
Dave Langevin,1954-01-01T00:00:00+02:00,1954-05-15,male,{Minnesota|Saint Paul Minnesota|United States}
David Hanson (ice hockey),1954-01-01T00:00:00+02:00,1954-04-12,male,{Wisconsin|Cumberland Wisconsin|United States}
Bill Evo,1954-01-01T00:00:00+02:00,1954-02-21,male,{Michigan|Royal Oak Michigan|United States}
Bill Gilligan,1954-01-01T00:00:00+02:00,1954-08-05,male,{Beverly Massachusetts|Massachusetts|United States}
Brian Walsh (ice hockey),1954-01-01T00:00:00+02:00,1954-11-06,,{Cambridge Massachusetts|Massachusetts|United States}
Buzz Schneider,1954-01-01T00:00:00+02:00,1954-09-14,male,{Minnesota|Grand Rapids Minnesota|United States}
Jim Boo,1954-01-01T00:00:00+02:00,1954-11-12,,{Missouri|Rolla Missouri|United States}
Marty Howe,1954-01-01T00:00:00+02:00,1954-02-18,male,{Detroit|Michigan|United States}
John Sheridan (ice hockey),1954-01-01T00:00:00+02:00,1954-09-18,male,{Minnesota|Minneapolis|United States}
Jack Brownschidle,1955-01-01T00:00:00+02:00,1955-10-02,male,{Buffalo New York|United States|New York}
Tim Burke (ice hockey),1955-01-01T00:00:00+02:00,1955-05-29,,{Melrose Massachusetts|Massachusetts|United States}
Gary Morrison,1955-01-01T00:00:00+02:00,1955-11-08,male,{Michigan|Farmington Michigan|United States}
Paul Holmgren,1955-01-01T00:00:00+02:00,1955-12-02,male,{Minnesota|Saint Paul Minnesota|United States}
Russ Anderson,1955-01-01T00:00:00+02:00,1955-02-12,,{Des Moines Iowa|United States|Iowa}
Mike O'Connell,1955-01-01T00:00:00+02:00,1955-11-25,male,{Chicago|Illinois|United States}
Steve Carlson,1955-01-01T00:00:00+02:00,1955-08-26,male,{Minnesota|Virginia Minnesota|United States}
Steve Jensen,1955-01-01T00:00:00+02:00,1955-04-14,,{Minneapolis|United States}
Lee Fogolin,1955-01-01T00:00:00+02:00,1955-02-07,male,{Chicago|Illinois|United States}
