Pasi Puistola,1978-01-01T00:00:00+02:00,1978-09-16,,{Finland|Tampere}
Petteri Lotila,1978-01-01T00:00:00+02:00,1978-03-24,,{Finland|Rauma Finland}
Teemu Aalto,1978-01-01T00:00:00+02:00,1978-03-30,,{Finland|Kokkola}
Niklas Bäckström,1978-01-01T00:00:00+02:00,1978-02-13,male,{Finland|Helsinki}
Niko Kapanen,1978-01-01T00:00:00+02:00,1978-04-29,,{Finland|Hattula}
Karoliina Rantamäki,1978-01-01T00:00:00+02:00,1978-02-23,female,{Finland|Vantaa}
Kimmo Koskenkorva,1978-01-01T00:00:00+02:00,1978-06-21,,{Finland|Haukipudas}
Pekka Saravo,1979-01-01T00:00:00+02:00,1979-11-13,,{Finland|Rovaniemi}
Miikka Männikkö,,1979-03-27,,{Finland|Tampere}
Mika Lehto,1979-01-01T00:00:00+02:00,1979-04-12,male,{Finland|Vammala}
Mika Noronen,1979-01-01T00:00:00+02:00,1979-06-17,,{Finland|Tampere}
Mika Viinanen,1979-01-01T00:00:00+02:00,1979-07-21,,{Finland|Helsinki|Kaarina}
Mikko Kurvinen,1979-01-01T00:00:00+02:00,1979-03-11,male,{Finland|Anjalankoski}
Tomi Källarsson,1979-01-01T00:00:00+02:00,1979-03-15,male,{Finland|Lempäälä}
Tomi Lämsä,1979-01-01T00:00:00+02:00,1979-09-16,male,{Finland|Lahti}
Tommi Santala,1979-01-01T00:00:00+02:00,1979-06-27,,{Finland|Helsinki}
Toni Dahlman,1979-01-01T00:00:00+02:00,1979-09-03,male,{Finland|Helsinki}
Marko Kauppinen,1979-01-01T00:00:00+02:00,1979-03-23,male,{Finland|Mikkeli}
Jani Honkanen,1979-01-01T00:00:00+02:00,1979-09-20,male,{Finland|Espoo}
Eerikki Koivu,1979-01-01T00:00:00+02:00,1979-12-29,male,{Finland|Norway|Kokkola}
Eero Somervuori,1979-01-01T00:00:00+02:00,1979-02-07,male,{Finland|Järvenpää}
Juha Gustafsson,1979-01-01T00:00:00+02:00,1979-04-24,,{Finland|Helsinki}
Juha Kaunismäki,1979-01-01T00:00:00+02:00,1979-05-06,,{Finland|Helsinki}
Kalle Kerman,1979-01-01T00:00:00+02:00,1979-10-06,male,{Finland|Kuopio}
Antti Bruun,1979-01-01T00:00:00+02:00,1979-11-09,,{Finland|Savonlinna}
Antti Ore,1979-01-01T00:00:00+02:00,1979-10-25,,{Finland|Joutseno}
Teemu Elomo,1979-01-01T00:00:00+02:00,1979-01-13,male,{Finland|Turku}
Ville Uusitalo,1979-01-01T00:00:00+02:00,1979-07-06,,{Finland|Espoo}
Niklas Hagman,1979-01-01T00:00:00+02:00,1979-12-05,male,{Finland|Espoo}
Mikko Jokela,1980-01-01T00:00:00+02:00,1980-03-04,male,{Finland|Lappeenranta}
Tuomas Tarkki,1980-01-01T00:00:00+02:00,1980-02-28,,{Finland|Rauma Finland}
Kristian Antila,1980-01-01T00:00:00+02:00,1980-01-10,male,{Finland|Vammala}
Marko Ahosilta,1980-01-01T00:00:00+02:00,1980-01-24,male,{Finland|Kuopio}
Jari Viuhkola,1980-01-01T00:00:00+02:00,1980-02-27,male,{Finland|Oulu}
Jukka Voutilainen,1980-01-01T00:00:00+02:00,1980-05-14,,{Finland|Kuopio}
Arto Laatikainen,1980-01-01T00:00:00+02:00,1980-05-24,male,{Finland|Espoo}
Antero Niittymäki,1980-01-01T00:00:00+02:00,1980-06-18,male,{Finland|Turku}
Antti Miettinen,1980-01-01T00:00:00+02:00,1980-07-03,male,{Finland|Hämeenlinna}
